Car_Name,Year,Selling_Price,Present_Price,Kilometers_Driven,Fuel_Type,Seller_Type,Transmission,Owner_Type
Renault Kwid,2015,16.560000000000002,22.360000000000003,52464,Petrol,Individual,Automatic,Second Owner
Honda City,2021,16.509999999999998,18.31,88034,Petrol,Individual,Automatic,Second Owner
Hyundai i20,2018,8.940000000000001,10.940000000000001,89395,Diesel,Dealer,Automatic,Second Owner
Honda City,2019,16.32,21.72,47181,Petrol,Dealer,Manual,Third Owner
Hyundai Verna,2014,17.630000000000003,24.230000000000004,35054,Diesel,Dealer,Automatic,First Owner
Maruti Swift,2020,15.17,18.77,58705,Petrol,Dealer,Automatic,Third Owner
Maruti Celerio,2015,13.54,22.54,34680,Petrol,Dealer,Automatic,Second Owner
Maruti Celerio,2021,15.61,18.21,81751,Petrol,Individual,Automatic,Third Owner
Volkswagen Polo,2016,8.29,12.69,21649,Diesel,Individual,Automatic,Third Owner
Hyundai i20,2021,7.2,15.8,59255,Diesel,Individual,Manual,Third Owner
Honda Amaze,2022,13.21,15.21,54712,Petrol,Dealer,Manual,Third Owner
Tata Nexon,2019,16.52,17.12,26929,Diesel,Individual,Automatic,Third Owner
Hyundai i20,2019,9.35,19.15,87510,Petrol,Dealer,Automatic,Third Owner
Maruti Celerio,2019,8.54,17.54,66778,Diesel,Dealer,Automatic,Second Owner
Ford Figo,2020,9.370000000000001,16.17,78013,Diesel,Dealer,Manual,First Owner
Renault Duster,2017,14.68,24.48,21725,Diesel,Individual,Manual,Third Owner
Tata Tiago,2015,5.51,5.71,27944,Petrol,Individual,Manual,Second Owner
Toyota Etios,2016,4.73,13.13,22169,Diesel,Individual,Manual,First Owner
Ford Figo,2022,9.059999999999999,11.459999999999999,34271,Diesel,Dealer,Manual,Third Owner
Maruti Baleno,2013,13.21,14.41,51448,Petrol,Dealer,Automatic,Third Owner
Toyota Innova,2022,6.4399999999999995,10.84,37459,Diesel,Dealer,Automatic,First Owner
Ford Figo,2020,8.07,9.870000000000001,36722,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2021,11.74,18.54,23088,Petrol,Individual,Automatic,Second Owner
Kia Seltos,2016,7.27,11.87,37839,Petrol,Individual,Automatic,Third Owner
Honda Amaze,2022,4.5,13.1,41203,Diesel,Dealer,Manual,First Owner
Hyundai Creta,2016,7.44,17.240000000000002,56834,Diesel,Dealer,Manual,First Owner
Toyota Etios,2013,6.4,15.8,63526,Diesel,Individual,Automatic,First Owner
Tata Nexon,2022,15.91,24.11,74124,Diesel,Dealer,Automatic,Second Owner
Renault Kwid,2015,9.09,18.89,82954,Diesel,Individual,Automatic,Second Owner
Tata Nexon,2015,7.98,12.38,30456,Diesel,Individual,Manual,First Owner
Ford Figo,2021,9.75,12.55,63906,Petrol,Dealer,Automatic,Second Owner
Kia Seltos,2021,13.35,15.75,40338,Diesel,Individual,Automatic,First Owner
Honda City,2016,3.98,7.18,52800,Diesel,Individual,Manual,First Owner
Honda City,2022,13.25,20.85,53446,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2018,11.09,14.29,29407,Diesel,Individual,Automatic,Third Owner
Skoda Rapid,2019,12.15,19.55,37329,Diesel,Dealer,Manual,First Owner
Kia Seltos,2015,15.09,18.49,45508,Petrol,Individual,Automatic,Second Owner
Maruti Swift,2015,10.49,17.29,31492,Diesel,Dealer,Automatic,First Owner
Toyota Innova,2017,16.75,18.95,53270,Diesel,Dealer,Manual,Third Owner
Ford Figo,2013,12.52,17.52,54200,Petrol,Dealer,Manual,Third Owner
Renault Duster,2019,11.78,15.579999999999998,39025,Petrol,Individual,Automatic,First Owner
Skoda Rapid,2013,6.8100000000000005,10.81,76786,Petrol,Individual,Manual,First Owner
Ford Figo,2013,12.24,13.040000000000001,43741,Petrol,Individual,Manual,First Owner
Hyundai i20,2014,8.41,10.61,22614,Diesel,Individual,Manual,Third Owner
Tata Tiago,2018,9.34,13.14,62763,Petrol,Individual,Automatic,Third Owner
Toyota Etios,2013,3.33,10.93,63450,Diesel,Dealer,Automatic,Third Owner
Kia Seltos,2020,16.810000000000002,18.21,81711,Petrol,Dealer,Automatic,Second Owner
Toyota Innova,2021,6.13,10.530000000000001,35213,Petrol,Individual,Manual,Third Owner
Toyota Etios,2022,8.54,10.739999999999998,38584,Petrol,Dealer,Manual,First Owner
Mahindra XUV300,2015,12.95,17.549999999999997,26527,Petrol,Individual,Manual,First Owner
Mahindra XUV300,2017,4.24,10.04,42503,Petrol,Dealer,Automatic,First Owner
Maruti Celerio,2020,17.4,23.799999999999997,61555,Petrol,Individual,Manual,First Owner
Renault Duster,2021,13.15,18.75,71787,Diesel,Individual,Manual,Third Owner
Toyota Etios,2016,13.58,22.78,44054,Petrol,Dealer,Manual,Third Owner
Ford EcoSport,2022,6.220000000000001,8.22,88630,Diesel,Individual,Automatic,Second Owner
Renault Duster,2022,14.87,15.67,88165,Diesel,Individual,Manual,Third Owner
Honda Amaze,2021,3.29,6.49,26219,Diesel,Dealer,Manual,Second Owner
Toyota Innova,2014,10.879999999999999,13.28,29038,Diesel,Individual,Manual,First Owner
Honda Amaze,2014,17.439999999999998,19.24,78291,Petrol,Dealer,Manual,Second Owner
Hyundai Creta,2016,13.14,13.34,32427,Diesel,Dealer,Automatic,Third Owner
Hyundai i20,2015,9.780000000000001,10.180000000000001,70673,Petrol,Dealer,Manual,Third Owner
Toyota Etios,2018,4.63,11.629999999999999,26318,Diesel,Dealer,Automatic,First Owner
Tata Tiago,2015,16.82,20.82,27041,Diesel,Individual,Manual,Second Owner
Honda City,2017,3.56,8.56,25681,Diesel,Individual,Manual,First Owner
Honda City,2019,11.07,16.47,86272,Diesel,Dealer,Automatic,Third Owner
Mahindra XUV300,2013,12.56,15.36,86027,Diesel,Dealer,Manual,Second Owner
Skoda Rapid,2022,3.37,6.57,77180,Petrol,Individual,Automatic,First Owner
Mahindra XUV300,2016,9.55,13.15,25304,Petrol,Dealer,Manual,First Owner
Honda City,2016,8.7,10.299999999999999,67343,Petrol,Individual,Manual,Third Owner
Ford EcoSport,2020,3.5300000000000002,5.73,44820,Diesel,Dealer,Automatic,Second Owner
Maruti Baleno,2015,6.62,15.02,48972,Petrol,Dealer,Automatic,Second Owner
Maruti Baleno,2021,5.65,10.850000000000001,63498,Petrol,Dealer,Manual,Second Owner
Hyundai i20,2015,13.35,17.55,64769,Diesel,Dealer,Manual,First Owner
Toyota Etios,2022,14.45,18.25,40876,Diesel,Individual,Manual,Second Owner
Toyota Innova,2014,6.970000000000001,11.57,56908,Diesel,Individual,Manual,Second Owner
Maruti Swift,2013,3.52,10.92,80019,Petrol,Dealer,Automatic,Second Owner
Hyundai Creta,2022,3.9699999999999998,4.97,82069,Diesel,Individual,Manual,Second Owner
Skoda Rapid,2017,8.57,10.17,56099,Diesel,Dealer,Manual,Second Owner
Renault Duster,2022,5.04,10.24,65108,Diesel,Individual,Manual,Second Owner
Mahindra XUV300,2017,11.1,16.1,72370,Diesel,Individual,Automatic,First Owner
Volkswagen Polo,2020,16.42,18.020000000000003,83673,Diesel,Individual,Automatic,First Owner
Honda Amaze,2013,15.52,18.12,66897,Diesel,Individual,Automatic,Second Owner
Ford Figo,2021,5.029999999999999,12.829999999999998,87874,Diesel,Dealer,Manual,Second Owner
Hyundai Creta,2019,8.09,14.49,81531,Petrol,Dealer,Automatic,First Owner
Maruti Celerio,2020,8.3,11.5,31609,Petrol,Dealer,Automatic,Third Owner
Maruti Baleno,2021,7.56,12.96,80399,Petrol,Dealer,Manual,Second Owner
Tata Tiago,2021,5.25,5.85,25463,Diesel,Dealer,Automatic,Second Owner
Maruti Celerio,2019,12.14,14.940000000000001,89047,Diesel,Dealer,Automatic,First Owner
Maruti Celerio,2014,12.09,20.89,66133,Petrol,Individual,Manual,First Owner
Kia Seltos,2022,14.73,23.33,53699,Petrol,Individual,Manual,Third Owner
Renault Kwid,2020,17.04,18.04,65276,Petrol,Dealer,Automatic,Second Owner
Ford Figo,2021,13.61,19.41,84490,Diesel,Dealer,Automatic,First Owner
Maruti Swift,2019,7.04,13.64,62800,Petrol,Dealer,Manual,Third Owner
Maruti Swift,2015,9.84,16.64,39800,Petrol,Dealer,Manual,Second Owner
Tata Nexon,2021,14.54,14.54,76005,Petrol,Individual,Manual,Second Owner
Tata Nexon,2022,5.54,8.94,77873,Petrol,Dealer,Manual,Third Owner
Renault Kwid,2020,10.379999999999999,15.18,46819,Petrol,Dealer,Automatic,Third Owner
Maruti Celerio,2017,6.01,14.209999999999999,49239,Petrol,Individual,Manual,Third Owner
Toyota Etios,2017,15.78,21.78,39261,Diesel,Dealer,Manual,Third Owner
Toyota Etios,2019,10.02,13.62,85526,Diesel,Dealer,Automatic,Third Owner
